epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1432.61,1.73057,0.84285,1.58798,0.88387,0.82414,0.87781,0.38713,2.00078,0.89206,1.87761,0.00132868,0.00132868,0.00132868
43,1467.27,1.71607,0.86482,1.6064,0.85302,0.83751,0.87181,0.38774,2.00339,0.8938,1.91,0.00132043,0.00132043,0.00132043
44,1500.76,1.72647,0.90126,1.63606,0.88531,0.82936,0.86593,0.37238,2.02448,0.89602,1.89523,0.00131218,0.00131218,0.00131218
45,1534.27,1.68581,0.84518,1.59937,0.88314,0.83498,0.87303,0.36638,2.05892,0.89367,1.94956,0.00130393,0.00130393,0.00130393
46,1567.75,1.69518,0.82284,1.62963,0.86841,0.82557,0.87783,0.39881,2.01892,0.87727,1.8952,0.00129568,0.00129568,0.00129568
47,1602.5,1.6866,0.83918,1.57681,0.83473,0.82457,0.8575,0.36268,2.05272,0.89049,1.91909,0.00128742,0.00128742,0.00128742
48,1636.1,1.67219,0.8354,1.59793,0.89728,0.83751,0.87745,0.39456,2.02847,0.86861,1.90337,0.00127917,0.00127917,0.00127917
49,1669.61,1.66678,0.82821,1.58128,0.87924,0.84554,0.87434,0.38105,2.02762,0.84083,1.90425,0.00127092,0.00127092,0.00127092
50,1703.18,1.67829,0.80953,1.5874,0.87596,0.83224,0.87323,0.37901,2.03536,0.8857,1.89784,0.00126267,0.00126267,0.00126267
51,1736.77,1.67625,0.83631,1.55781,0.90461,0.81837,0.87449,0.3779,2.07878,0.88678,1.937,0.00125442,0.00125442,0.00125442
52,1770.24,1.62631,0.81076,1.55823,0.88223,0.86328,0.88541,0.3973,1.99854,0.84628,1.91869,0.00124617,0.00124617,0.00124617
53,1803.78,1.63685,0.81234,1.55224,0.90095,0.79847,0.87536,0.3875,2.01266,0.83971,1.89591,0.00123791,0.00123791,0.00123791
54,1837.09,1.6016,0.8136,1.55529,0.85869,0.85398,0.86585,0.38484,1.99055,0.83785,1.9037,0.00122966,0.00122966,0.00122966
55,1870.56,1.6489,0.82311,1.57158,0.89454,0.79708,0.85377,0.36448,2.06977,0.90507,1.94434,0.00122141,0.00122141,0.00122141
56,1903.87,1.61358,0.77622,1.54454,0.86088,0.85701,0.89042,0.36762,2.09215,0.86254,1.95358,0.00121316,0.00121316,0.00121316
57,1937.32,1.62886,0.77832,1.56342,0.88633,0.86106,0.87942,0.39347,2.03552,0.83221,1.90575,0.00120491,0.00120491,0.00120491
58,1970.91,1.61977,0.76491,1.56663,0.90228,0.81843,0.87748,0.3817,2.02774,0.81077,1.93938,0.00119666,0.00119666,0.00119666
59,2004.12,1.57646,0.76109,1.51887,0.87996,0.80988,0.86403,0.39831,2.00382,0.82049,1.90826,0.0011884,0.0011884,0.0011884
60,2036.56,1.59533,0.76518,1.53884,0.89291,0.84977,0.88736,0.39233,1.97141,0.81156,1.87978,0.00118015,0.00118015,0.00118015
61,2069.31,1.59266,0.77664,1.5434,0.89215,0.86446,0.88495,0.39198,2.00799,0.81468,1.89749,0.0011719,0.0011719,0.0011719
62,2102.21,1.58199,0.77986,1.52089,0.88039,0.84695,0.87224,0.38326,2.00429,0.84618,1.90879,0.00116365,0.00116365,0.00116365
63,2135.69,1.58839,0.75654,1.51345,0.88589,0.85343,0.88159,0.40073,1.9984,0.83789,1.88715,0.0011554,0.0011554,0.0011554
64,2170.23,1.53879,0.73768,1.52777,0.87157,0.86016,0.87015,0.38843,2.00134,0.85651,1.90583,0.00114715,0.00114715,0.00114715
65,2203.67,1.55151,0.73328,1.50101,0.85279,0.86961,0.88459,0.39423,2.01251,0.81169,1.89407,0.00113889,0.00113889,0.00113889
66,2237.06,1.53901,0.73798,1.51202,0.84457,0.8515,0.89475,0.41732,1.97471,0.84076,1.89527,0.00113064,0.00113064,0.00113064
67,2271.63,1.55032,0.73063,1.53405,0.91163,0.85659,0.89561,0.39465,2.00299,0.79872,1.92386,0.00112239,0.00112239,0.00112239
68,2305.13,1.57595,0.73377,1.52955,0.89784,0.86153,0.90946,0.41117,1.94271,0.78309,1.88159,0.00111414,0.00111414,0.00111414
69,2338.57,1.52788,0.70987,1.4949,0.87929,0.85282,0.87825,0.39404,2.01236,0.79042,1.91646,0.00110589,0.00110589,0.00110589
70,2371.92,1.56455,0.72678,1.50036,0.8603,0.8687,0.8917,0.39224,2.02482,0.81947,1.95121,0.00109764,0.00109764,0.00109764
71,2405.3,1.52299,0.73803,1.49158,0.89069,0.83862,0.89101,0.40164,2.00183,0.82088,1.90193,0.00108938,0.00108938,0.00108938
72,2438.75,1.52838,0.73989,1.5125,0.88824,0.86645,0.89833,0.40711,1.9814,0.81014,1.88308,0.00108113,0.00108113,0.00108113
73,2472.36,1.5367,0.74359,1.52105,0.83214,0.86666,0.88014,0.39978,1.97446,0.83578,1.9035,0.00107288,0.00107288,0.00107288
74,2506.01,1.51986,0.7202,1.48429,0.84664,0.84421,0.8899,0.39138,1.99494,0.7872,1.92178,0.00106463,0.00106463,0.00106463
75,2539.76,1.50769,0.70297,1.46973,0.87946,0.84988,0.89223,0.39807,1.99524,0.83268,1.89206,0.00105638,0.00105638,0.00105638
76,2573.5,1.49371,0.70745,1.47196,0.89454,0.87295,0.90694,0.39883,2.00551,0.79367,1.94472,0.00104813,0.00104813,0.00104813
77,2607.18,1.4841,0.70616,1.49944,0.90566,0.8407,0.89814,0.40123,2.02081,0.76668,1.94447,0.00103987,0.00103987,0.00103987
78,2640.97,1.49912,0.71247,1.45413,0.89688,0.88867,0.90918,0.4093,2.00191,0.77893,1.91693,0.00103162,0.00103162,0.00103162
79,2675.32,1.49165,0.68798,1.49625,0.88527,0.86749,0.88554,0.39933,2.03014,0.80249,1.9584,0.00102337,0.00102337,0.00102337
80,2707.86,1.48185,0.66966,1.44761,0.88471,0.85604,0.88545,0.4101,1.9983,0.80006,1.92294,0.00101512,0.00101512,0.00101512
81,2740.46,1.4443,0.68274,1.43432,0.89786,0.86137,0.89488,0.40253,2.01103,0.78854,1.93975,0.00100687,0.00100687,0.00100687
82,2773.31,1.43523,0.67462,1.43746,0.89476,0.84067,0.89055,0.40123,2.02955,0.8314,1.94752,0.000998616,0.000998616,0.000998616
83,2805.67,1.47842,0.67572,1.45435,0.89684,0.85868,0.90223,0.40268,2.03246,0.79744,1.95817,0.000990365,0.000990365,0.000990365
84,2838.1,1.44357,0.66018,1.43738,0.87966,0.84649,0.87885,0.40255,1.99152,0.77693,1.92836,0.000982113,0.000982113,0.000982113
85,2870.89,1.46132,0.68723,1.45869,0.88288,0.86037,0.8862,0.38528,2.02291,0.7942,1.96969,0.000973861,0.000973861,0.000973861
86,2903.93,1.44119,0.68121,1.46931,0.87585,0.8694,0.88458,0.41261,1.93886,0.77937,1.92452,0.00096561,0.00096561,0.00096561
87,2936.81,1.41809,0.65664,1.44424,0.84461,0.87998,0.88248,0.40493,1.99499,0.79348,1.94979,0.000957358,0.000957358,0.000957358
88,2970.3,1.45856,0.66484,1.41132,0.89552,0.84923,0.88751,0.40935,1.9992,0.79991,1.94443,0.000949106,0.000949106,0.000949106
89,3003.68,1.42073,0.66357,1.42788,0.88393,0.86039,0.89664,0.3992,2.0072,0.79734,1.93221,0.000940855,0.000940855,0.000940855
