epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.014,2.41113,2.97819,1.90958,0.09741,0.26825,0.0701,0.02342,2.55251,inf,3.32378,0.000550835,0.000550835,0.000550835
2,68.879,2.33432,2.0639,1.94983,0.50381,0.43777,0.33221,0.11418,2.56392,3.52422,2.35011,0.00110102,0.00110102,0.00110102
3,104.456,2.35947,2.00552,1.96269,0.37186,0.27304,0.22116,0.07496,2.4465,3.10146,2.55293,0.00164571,0.00164571,0.00164571
4,138.639,2.35107,1.97357,1.97896,0.27511,0.29598,0.28394,0.09097,2.51612,3.99298,2.23629,0.00164225,0.00164225,0.00164225
5,172.138,2.26228,1.83633,1.88659,0.5677,0.39456,0.41005,0.13936,2.26644,2.67316,1.93404,0.00163399,0.00163399,0.00163399
6,209.846,2.23404,1.71148,1.8718,0.53816,0.49027,0.50865,0.17637,2.34094,2.62179,2.02949,0.00162574,0.00162574,0.00162574
7,247.158,2.15055,1.63514,1.82235,0.61517,0.62,0.614,0.22396,2.23644,1.63777,1.98351,0.00161749,0.00161749,0.00161749
8,283.651,2.16715,1.61507,1.8195,0.54973,0.59552,0.53743,0.18278,2.23902,2.10667,1.91724,0.00160924,0.00160924,0.00160924
9,317.413,2.12425,1.52336,1.7896,0.59809,0.61045,0.57012,0.18884,2.24733,1.72107,1.9638,0.00160099,0.00160099,0.00160099
10,350.029,2.14651,1.48926,1.80881,0.62898,0.55382,0.57776,0.17703,2.37936,1.69882,2.02148,0.00159274,0.00159274,0.00159274
11,384.302,2.0973,1.44766,1.78048,0.70043,0.66411,0.68749,0.24106,2.24335,1.41444,1.9479,0.00158448,0.00158448,0.00158448
12,418.607,2.03978,1.37732,1.74568,0.75872,0.68187,0.73065,0.27392,2.16232,1.48195,1.88524,0.00157623,0.00157623,0.00157623
13,451.006,2.07824,1.42042,1.79019,0.70086,0.68131,0.70419,0.24378,2.12997,1.48824,1.88662,0.00156798,0.00156798,0.00156798
14,486.448,2.05391,1.37505,1.76866,0.70609,0.64691,0.66157,0.22673,2.21436,1.41155,1.93946,0.00155973,0.00155973,0.00155973
15,521.549,2.03305,1.34033,1.75395,0.76225,0.74449,0.76681,0.28596,2.15744,1.26357,1.87086,0.00155148,0.00155148,0.00155148
16,560.975,2.01823,1.31596,1.7692,0.77155,0.69848,0.74777,0.30643,2.08521,1.288,1.85058,0.00154323,0.00154323,0.00154323
17,598.038,1.97982,1.24869,1.72551,0.7406,0.73123,0.76215,0.28229,2.13164,1.30981,1.88621,0.00153497,0.00153497,0.00153497
18,634.061,1.99015,1.25925,1.70923,0.73449,0.72365,0.73937,0.25747,2.22062,1.33637,1.89968,0.00152672,0.00152672,0.00152672
19,668.476,1.98,1.20207,1.70008,0.80817,0.77201,0.79922,0.31055,2.12225,1.22482,1.866,0.00151847,0.00151847,0.00151847
20,703.8,2.04733,1.25858,1.77891,0.74794,0.61873,0.68889,0.25886,2.17422,1.41125,1.91468,0.00151022,0.00151022,0.00151022
21,737.731,1.93835,1.22626,1.70674,0.74606,0.73822,0.77379,0.29102,2.17672,1.26643,1.96047,0.00150197,0.00150197,0.00150197
22,771.128,1.97812,1.19341,1.71108,0.80877,0.71234,0.76152,0.28208,2.1804,1.21707,1.87811,0.00149372,0.00149372,0.00149372
23,806.778,1.93331,1.20628,1.68739,0.82763,0.68425,0.7601,0.29884,2.12951,1.23507,1.86414,0.00148546,0.00148546,0.00148546
24,841.542,1.91716,1.15869,1.66513,0.79029,0.70373,0.75848,0.28674,2.19844,1.31284,1.87242,0.00147721,0.00147721,0.00147721
25,874.514,1.88496,1.14017,1.66912,0.82957,0.77131,0.8245,0.33199,2.05141,1.15097,1.80273,0.00146896,0.00146896,0.00146896
26,909.98,1.87713,1.14394,1.63573,0.80654,0.79604,0.81543,0.31679,2.10217,1.14508,1.83719,0.00146071,0.00146071,0.00146071
27,944.257,1.93264,1.14325,1.66899,0.8408,0.77671,0.83376,0.35627,2.04008,1.06628,1.80962,0.00145246,0.00145246,0.00145246
28,979.293,1.89119,1.09252,1.67523,0.79154,0.69892,0.75683,0.28321,2.20735,1.23185,1.91399,0.00144421,0.00144421,0.00144421
29,1013.46,1.92039,1.06809,1.6766,0.82209,0.78683,0.82798,0.3565,2.04856,1.09376,1.828,0.00143595,0.00143595,0.00143595
30,1049.08,1.89543,1.11303,1.6649,0.81349,0.75645,0.794,0.31386,2.13402,1.14444,1.90685,0.0014277,0.0014277,0.0014277
31,1084.18,1.89823,1.09198,1.67168,0.86632,0.79353,0.82867,0.32978,2.13541,1.0329,1.8941,0.00141945,0.00141945,0.00141945
32,1118.74,1.85132,1.03763,1.65202,0.82375,0.80298,0.83183,0.34628,2.06973,1.03896,1.82265,0.0014112,0.0014112,0.0014112
33,1153.91,1.85,1.08201,1.63471,0.80285,0.78779,0.81504,0.33331,2.09662,1.0558,1.86667,0.00140295,0.00140295,0.00140295
34,1189.82,1.84172,1.07291,1.62142,0.81176,0.77156,0.82637,0.3473,2.04823,1.08228,1.8066,0.0013947,0.0013947,0.0013947
35,1224.09,1.88872,1.06357,1.64929,0.81995,0.76091,0.82894,0.32572,2.18007,1.03777,1.9232,0.00138644,0.00138644,0.00138644
36,1258,1.88049,1.0418,1.63072,0.79173,0.78215,0.78232,0.31361,2.11131,1.10114,1.84102,0.00137819,0.00137819,0.00137819
37,1292.79,1.79228,0.97698,1.59227,0.84867,0.8125,0.84253,0.36816,2.04192,1.00031,1.8113,0.00136994,0.00136994,0.00136994
38,1328.79,1.83417,1.00318,1.60702,0.83964,0.78264,0.81283,0.33776,2.07998,1.05304,1.86144,0.00136169,0.00136169,0.00136169
39,1362.19,1.78684,1.01488,1.59131,0.80447,0.80961,0.82,0.36112,1.9856,0.99014,1.79554,0.00135344,0.00135344,0.00135344
40,1396.85,1.8161,1.00049,1.61071,0.79443,0.79406,0.83668,0.35779,2.0546,1.04739,1.79533,0.00134519,0.00134519,0.00134519
41,1431.69,1.82749,0.97979,1.59591,0.8541,0.80469,0.86004,0.36297,2.0946,0.98267,1.8227,0.00133693,0.00133693,0.00133693
42,1467.2,1.79949,0.95393,1.58158,0.8353,0.8113,0.8398,0.35869,2.07969,0.97834,1.8169,0.00132868,0.00132868,0.00132868
43,1501.45,1.78602,0.96244,1.58561,0.86587,0.79957,0.85802,0.36386,2.0668,0.98242,1.81783,0.00132043,0.00132043,0.00132043
44,1535.21,1.7901,0.94287,1.60732,0.87657,0.81906,0.85132,0.35614,2.09501,0.9473,1.85147,0.00131218,0.00131218,0.00131218
45,1568.36,1.76927,0.9368,1.58788,0.85944,0.80715,0.86187,0.37721,2.01382,0.97077,1.80616,0.00130393,0.00130393,0.00130393
46,1604.26,1.76162,0.93658,1.60372,0.89238,0.82745,0.87211,0.39406,2.02644,0.92984,1.79995,0.00129568,0.00129568,0.00129568
47,1644.29,1.75927,0.94176,1.56431,0.841,0.76444,0.81561,0.34875,2.08576,1.00846,1.84724,0.00128742,0.00128742,0.00128742
48,1683.54,1.70069,0.91489,1.54762,0.83992,0.81025,0.85183,0.373,2.06633,0.99296,1.82501,0.00127917,0.00127917,0.00127917
49,1718.08,1.72693,0.90143,1.54244,0.87886,0.83056,0.87027,0.38445,1.99911,0.94232,1.78979,0.00127092,0.00127092,0.00127092
50,1752.25,1.75949,0.90359,1.56807,0.90146,0.78929,0.88654,0.38844,1.98268,0.91126,1.77394,0.00126267,0.00126267,0.00126267
51,1788.36,1.7483,0.91747,1.53024,0.85152,0.81464,0.85704,0.35152,2.10127,0.94107,1.86047,0.00125442,0.00125442,0.00125442
52,1822.41,1.72989,0.8991,1.54878,0.85395,0.83709,0.87324,0.38578,2.02702,0.90425,1.81756,0.00124617,0.00124617,0.00124617
53,1859.03,1.71414,0.89608,1.5407,0.86669,0.81417,0.86934,0.36393,2.08134,0.91997,1.84276,0.00123791,0.00123791,0.00123791
54,1896,1.71955,0.92392,1.55734,0.85276,0.7747,0.84359,0.35715,2.08145,0.95556,1.85677,0.00122966,0.00122966,0.00122966
55,1932.26,1.73829,0.8991,1.55931,0.87301,0.81466,0.85487,0.36382,2.06161,0.96069,1.81316,0.00122141,0.00122141,0.00122141
56,1967.9,1.68905,0.87555,1.52433,0.89732,0.79784,0.8617,0.37749,1.98833,0.87734,1.79036,0.00121316,0.00121316,0.00121316
57,2001.72,1.70988,0.87026,1.54842,0.88112,0.79893,0.86088,0.37285,2.03567,0.96732,1.81221,0.00120491,0.00120491,0.00120491
58,2036.42,1.68143,0.85934,1.53496,0.87515,0.83593,0.86818,0.38104,2.03726,0.91404,1.81202,0.00119666,0.00119666,0.00119666
59,2074.01,1.67985,0.85633,1.51324,0.86359,0.83967,0.87893,0.38649,2.0102,0.87467,1.78989,0.0011884,0.0011884,0.0011884
60,2111.29,1.71101,0.85301,1.53919,0.87134,0.84756,0.88498,0.38247,2.01377,0.89895,1.80455,0.00118015,0.00118015,0.00118015
61,2148.33,1.68016,0.86191,1.53165,0.85167,0.85729,0.87811,0.38738,2.01482,0.86722,1.81327,0.0011719,0.0011719,0.0011719
62,2186.02,1.66983,0.87461,1.52695,0.8738,0.81759,0.87984,0.38567,2.03393,0.90698,1.81934,0.00116365,0.00116365,0.00116365
63,2220.82,1.72741,0.86191,1.54688,0.86003,0.83722,0.86532,0.37252,2.0769,0.94314,1.82484,0.0011554,0.0011554,0.0011554
64,2254.55,1.65382,0.85177,1.52495,0.89555,0.84338,0.8685,0.40229,1.96917,0.88974,1.79612,0.00114715,0.00114715,0.00114715
65,2289.26,1.64578,0.82431,1.51139,0.8877,0.82462,0.87319,0.38541,2.02666,0.88154,1.82644,0.00113889,0.00113889,0.00113889
66,2323.43,1.64809,0.82944,1.52784,0.87493,0.82323,0.8765,0.40602,1.96764,0.83527,1.80182,0.00113064,0.00113064,0.00113064
67,2358.92,1.65137,0.82676,1.53278,0.88249,0.82756,0.87543,0.36746,2.0517,0.88842,1.84961,0.00112239,0.00112239,0.00112239
68,2391.9,1.67546,0.83306,1.52814,0.86444,0.84198,0.87139,0.40433,1.97656,0.83922,1.77847,0.00111414,0.00111414,0.00111414
69,2424.91,1.6272,0.83579,1.49378,0.86005,0.82787,0.87301,0.39344,2.00435,0.86402,1.81849,0.00110589,0.00110589,0.00110589
70,2458.17,1.64838,0.80614,1.49591,0.88175,0.83173,0.87943,0.3914,2.0002,0.85141,1.81265,0.00109764,0.00109764,0.00109764
71,2492.2,1.60999,0.81117,1.481,0.88535,0.83127,0.88419,0.39358,2.01303,0.87314,1.81,0.00108938,0.00108938,0.00108938
72,2530.48,1.64651,0.83267,1.51274,0.8644,0.85302,0.87705,0.39512,1.99621,0.86801,1.79114,0.00108113,0.00108113,0.00108113
73,2566.07,1.62037,0.8138,1.51848,0.84361,0.82031,0.86202,0.38965,1.98511,0.83907,1.81971,0.00107288,0.00107288,0.00107288
74,2600.98,1.64174,0.81058,1.50104,0.89818,0.83621,0.89266,0.40361,1.95537,0.84163,1.76865,0.00106463,0.00106463,0.00106463
75,2634.8,1.5955,0.78427,1.45527,0.89884,0.82975,0.88266,0.4106,1.99137,0.8587,1.79447,0.00105638,0.00105638,0.00105638
76,2670.38,1.58087,0.77951,1.46241,0.90086,0.85324,0.88566,0.39443,1.99794,0.88288,1.78192,0.00104813,0.00104813,0.00104813
77,2705.34,1.60002,0.7982,1.49579,0.88087,0.84023,0.88563,0.39688,2.00247,0.82546,1.8166,0.00103987,0.00103987,0.00103987
78,2740.91,1.60292,0.78702,1.45792,0.84999,0.83769,0.86324,0.39774,1.99348,0.82458,1.78721,0.00103162,0.00103162,0.00103162
79,2775.35,1.5881,0.78019,1.49845,0.86469,0.83646,0.86866,0.40164,1.99462,0.83533,1.80649,0.00102337,0.00102337,0.00102337
80,2811,1.59141,0.76116,1.46212,0.86461,0.86782,0.88685,0.39986,2.01854,0.82459,1.79746,0.00101512,0.00101512,0.00101512
81,2845.71,1.56781,0.7794,1.46155,0.87083,0.84338,0.88115,0.40806,2.00104,0.80633,1.82771,0.00100687,0.00100687,0.00100687
82,2881.42,1.54924,0.76624,1.4372,0.89137,0.85596,0.90441,0.40662,2.02816,0.81494,1.81965,0.000998616,0.000998616,0.000998616
83,2915.93,1.57674,0.74701,1.44939,0.91566,0.8256,0.8936,0.40885,1.96235,0.81432,1.78216,0.000990365,0.000990365,0.000990365
84,2950.87,1.54387,0.73245,1.44372,0.87661,0.85955,0.88153,0.3979,2.02183,0.79657,1.823,0.000982113,0.000982113,0.000982113
85,2987.55,1.55082,0.75722,1.45614,0.8756,0.85952,0.90112,0.40402,1.9711,0.81433,1.81372,0.000973861,0.000973861,0.000973861
86,3023.12,1.55191,0.7543,1.47295,0.86992,0.86128,0.8997,0.4091,1.99612,0.80578,1.82577,0.00096561,0.00096561,0.00096561
87,3058.35,1.52944,0.73581,1.44993,0.87687,0.85952,0.89749,0.41067,1.98829,0.83122,1.79479,0.000957358,0.000957358,0.000957358
88,3093.94,1.53922,0.74776,1.41366,0.91052,0.86367,0.89534,0.41177,1.97054,0.85267,1.78879,0.000949106,0.000949106,0.000949106
89,3130.45,1.54158,0.7533,1.44318,0.85833,0.84226,0.8669,0.37189,2.07767,0.84928,1.88724,0.000940855,0.000940855,0.000940855
90,3165.76,1.56483,0.75108,1.447,0.85248,0.84285,0.87554,0.40183,1.99939,0.82375,1.79604,0.000932603,0.000932603,0.000932603
91,3202.26,1.52742,0.72705,1.42693,0.87323,0.8441,0.875,0.4001,1.99498,0.825,1.80905,0.000924352,0.000924352,0.000924352
92,3237.3,1.51692,0.75135,1.42884,0.86454,0.89431,0.89432,0.40451,1.98542,0.82546,1.80686,0.0009161,0.0009161,0.0009161
93,3272.92,1.50048,0.70548,1.40511,0.90327,0.85159,0.89184,0.39944,2.02558,0.84659,1.8415,0.000907848,0.000907848,0.000907848
94,3308.2,1.51418,0.71513,1.41604,0.91687,0.86624,0.90619,0.41546,2.00173,0.80327,1.81738,0.000899597,0.000899597,0.000899597
95,3342.18,1.49487,0.73322,1.41135,0.88854,0.86715,0.89029,0.41343,1.9772,0.80741,1.80815,0.000891345,0.000891345,0.000891345
96,3377.92,1.5193,0.71669,1.42429,0.86873,0.85086,0.8622,0.38218,2.02128,0.85978,1.83262,0.000883093,0.000883093,0.000883093
97,3412.08,1.48797,0.71323,1.40032,0.86523,0.85952,0.8749,0.39125,2.00699,0.812,1.84122,0.000874842,0.000874842,0.000874842
98,3446.88,1.49468,0.74082,1.41034,0.87884,0.8243,0.86649,0.39097,2.00538,0.8583,1.81714,0.00086659,0.00086659,0.00086659
99,3482.42,1.49953,0.73379,1.42973,0.88345,0.84988,0.87765,0.37661,2.05674,0.84208,1.89517,0.000858338,0.000858338,0.000858338
100,3517.75,1.48845,0.72233,1.41757,0.90074,0.82931,0.89066,0.42062,1.96899,0.81274,1.81879,0.000850087,0.000850087,0.000850087
101,3553.91,1.50183,0.71553,1.4208,0.89047,0.85954,0.89583,0.39719,1.98851,0.84787,1.80789,0.000841835,0.000841835,0.000841835
102,3590.22,1.47552,0.704,1.41796,0.87417,0.87584,0.8875,0.41002,1.97827,0.80656,1.79273,0.000833583,0.000833583,0.000833583
103,3626.51,1.47335,0.70058,1.40411,0.8634,0.8471,0.8729,0.40753,1.98523,0.81758,1.82548,0.000825332,0.000825332,0.000825332
104,3664.17,1.48086,0.69922,1.41414,0.89835,0.86325,0.89345,0.39913,1.98871,0.80958,1.82192,0.00081708,0.00081708,0.00081708
105,3699.24,1.4555,0.70277,1.3916,0.87351,0.87333,0.89099,0.40067,1.99941,0.79894,1.82409,0.000808828,0.000808828,0.000808828
