epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.424,2.5312,3.1662,2.15543,0.02971,0.15016,0.01353,0.00536,2.68961,inf,2.47485,0.000553857,0.000553857,0.000553857
2,99.8108,2.60191,2.82354,2.31724,0.38326,0.21791,0.1842,0.05995,2.66542,5.54204,2.4862,0.00109854,0.00109854,0.00109854
3,150.881,2.58145,2.42503,2.24507,0.31397,0.15751,0.12407,0.03587,2.63068,6.57888,2.37657,0.00163222,0.00163222,0.00163222
4,201.558,2.51855,2.44894,2.24589,0.58767,0.36174,0.37588,0.12335,2.48681,4.49031,2.23224,0.00161749,0.00161749,0.00161749
5,253.158,2.42764,2.29995,2.18325,0.54418,0.31873,0.33133,0.10552,2.64134,2.35179,2.28677,0.00160099,0.00160099,0.00160099
6,304.005,2.41045,2.04512,2.14986,0.53132,0.45358,0.42473,0.13556,2.41727,2.18766,2.18478,0.00158448,0.00158448,0.00158448
7,355.936,2.38708,2.07468,2.11835,0.49799,0.47837,0.44182,0.14417,2.36052,2.28082,2.12144,0.00156798,0.00156798,0.00156798
8,407.95,2.33065,1.97576,2.06528,0.35778,0.53392,0.4208,0.14966,2.44528,2.18753,2.13154,0.00155148,0.00155148,0.00155148
9,459.89,2.27632,1.88949,2.05257,0.47651,0.44018,0.45689,0.15507,2.34178,2.1789,2.10384,0.00153497,0.00153497,0.00153497
10,511.81,2.2727,1.86105,2.05137,0.59452,0.57034,0.61425,0.23008,2.18247,1.71906,1.98607,0.00151847,0.00151847,0.00151847
11,563.742,2.20519,1.83606,1.98979,0.56621,0.48945,0.47398,0.17043,2.2877,1.93722,2.05062,0.00150197,0.00150197,0.00150197
12,614.705,2.22942,1.7949,2.01128,0.62921,0.57982,0.62103,0.21171,2.29387,1.76615,2.04904,0.00148546,0.00148546,0.00148546
13,665.854,2.20558,1.71904,1.96593,0.6155,0.53387,0.54277,0.19037,2.20262,1.80377,2.00202,0.00146896,0.00146896,0.00146896
