epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11507.7,1.75591,0.91726,1.64083,0.87205,0.80595,0.86719,0.38007,2.07985,0.92778,1.89266,0.00132868,0.00132868,0.00132868
43,11763.7,1.73116,0.91878,1.63596,0.87066,0.80662,0.86736,0.38887,2.05608,0.90014,1.90464,0.00132043,0.00132043,0.00132043
44,12046,1.75212,0.92082,1.64793,0.86482,0.80854,0.84932,0.36328,2.09711,0.96046,1.90837,0.00131218,0.00131218,0.00131218
45,12300.7,1.76685,0.94687,1.65576,0.87446,0.8212,0.84526,0.37031,2.03616,0.93221,1.87842,0.00130393,0.00130393,0.00130393
46,12577,1.72149,0.9073,1.65264,0.85583,0.83427,0.85656,0.36414,2.04145,0.91591,1.89911,0.00129568,0.00129568,0.00129568
47,12833.8,1.72831,0.91159,1.61881,0.88911,0.82681,0.8788,0.39444,2.03194,0.90966,1.86201,0.00128742,0.00128742,0.00128742
48,13098.8,1.70083,0.87027,1.61654,0.8605,0.8074,0.87408,0.38666,2.01909,0.89423,1.87688,0.00127917,0.00127917,0.00127917
49,13361,1.72331,0.88038,1.62509,0.88595,0.82932,0.87671,0.39177,2.03445,0.87735,1.89304,0.00127092,0.00127092,0.00127092
50,13650.6,1.7305,0.90492,1.64023,0.86723,0.80858,0.82964,0.34829,2.13783,0.91956,1.97768,0.00126267,0.00126267,0.00126267
51,13910.6,1.7292,0.89887,1.62885,0.86691,0.81843,0.86198,0.37517,2.01795,0.92143,1.86849,0.00125442,0.00125442,0.00125442
52,14169.5,1.67373,0.84231,1.59014,0.86033,0.86309,0.8853,0.39247,2.01716,0.82149,1.90055,0.00124617,0.00124617,0.00124617
53,14453.3,1.65016,0.83996,1.58092,0.86412,0.81843,0.86516,0.37722,2.03814,0.85524,1.89215,0.00123791,0.00123791,0.00123791
54,14731.1,1.6652,0.83824,1.58211,0.86911,0.83101,0.87391,0.39371,1.98164,0.85009,1.85612,0.00122966,0.00122966,0.00122966
55,14995.1,1.64749,0.80455,1.58771,0.87755,0.85995,0.87639,0.3924,2.00302,0.83079,1.86685,0.00122141,0.00122141,0.00122141
56,15258.2,1.6418,0.81555,1.56535,0.87576,0.82996,0.85541,0.37586,2.0032,0.87429,1.86457,0.00121316,0.00121316,0.00121316
57,15535.8,1.61789,0.80728,1.55867,0.88835,0.80924,0.86119,0.39135,2.03992,0.86436,1.89357,0.00120491,0.00120491,0.00120491
58,15823.8,1.62246,0.80626,1.58832,0.87948,0.86566,0.87743,0.3966,2.00124,0.81754,1.86965,0.00119666,0.00119666,0.00119666
59,16087.5,1.58083,0.77476,1.50113,0.86079,0.83395,0.87026,0.38986,2.00656,0.84515,1.89888,0.0011884,0.0011884,0.0011884
60,16343,1.60025,0.78051,1.54888,0.87075,0.85507,0.87721,0.40162,1.98199,0.82727,1.89125,0.00118015,0.00118015,0.00118015
61,16603.5,1.60783,0.81075,1.5832,0.84817,0.83701,0.85326,0.39456,2.00845,0.85495,1.87615,0.0011719,0.0011719,0.0011719
62,16870.3,1.64912,0.81484,1.59751,0.82217,0.82702,0.84255,0.3569,2.05987,0.87262,1.91871,0.00116365,0.00116365,0.00116365
63,17135.1,1.60567,0.8129,1.55084,0.84824,0.83459,0.86494,0.37335,2.0453,0.82917,1.89253,0.0011554,0.0011554,0.0011554
64,17404.3,1.62137,0.7903,1.56425,0.8634,0.80694,0.85012,0.38914,1.98262,0.84152,1.86187,0.00114715,0.00114715,0.00114715
65,17679.4,1.57279,0.76903,1.53349,0.89185,0.82493,0.86923,0.38084,2.01441,0.83259,1.86899,0.00113889,0.00113889,0.00113889
66,17941.7,1.59187,0.76655,1.53571,0.86678,0.84716,0.86072,0.39841,1.9742,0.83382,1.86759,0.00113064,0.00113064,0.00113064
67,18193.7,1.54299,0.75926,1.50894,0.86588,0.8633,0.87947,0.39783,2.02701,0.79687,1.92239,0.00112239,0.00112239,0.00112239
68,18449.6,1.53919,0.73165,1.52312,0.86875,0.8542,0.87147,0.39965,1.97141,0.83585,1.86949,0.00111414,0.00111414,0.00111414
69,18703.2,1.5223,0.73722,1.505,0.86882,0.85345,0.88043,0.40266,1.98577,0.83248,1.87477,0.00110589,0.00110589,0.00110589
70,18970.9,1.53044,0.72635,1.52202,0.88242,0.85874,0.88356,0.38284,2.00013,0.84577,1.90232,0.00109764,0.00109764,0.00109764
71,19235.3,1.54128,0.75079,1.48944,0.8673,0.83244,0.87043,0.38013,2.01122,0.85086,1.90173,0.00108938,0.00108938,0.00108938
72,19494.4,1.51854,0.73562,1.49984,0.85067,0.87558,0.88273,0.38768,2.04233,0.8192,1.93894,0.00108113,0.00108113,0.00108113
73,19769.3,1.57313,0.73633,1.5338,0.89063,0.83747,0.8772,0.39026,2.02831,0.8326,1.87671,0.00107288,0.00107288,0.00107288
74,20056.8,1.48687,0.71605,1.48445,0.87001,0.82388,0.8452,0.35772,2.0869,0.85475,1.95226,0.00106463,0.00106463,0.00106463
